ID,ProcessCpuUsage,SystemCpuUsage,SocketFreq1,ProbabilityMemLoadVectorMemory,ProbabilityUnclassifiedBranch,ProbabilityMemUpdateVectorLogic,ProbabilityMemUpdateVectorMemory,ProbabilityMemStoreScalarLogic,SocketFreq0,ProbabilityMemStoreVectorLogic,SocketPower1,ProbabilityMemUpdateUnclassifiedLogic,FanSpeed5,ProbabilityMemUpdateScalarMemory,ProbabilityMemStoreUnclassifiedMemory,ProbabilityMemStoreVectorArithmetic,ProbabilityRegisterScalarLogic,Timestamp,FanSpeed14,SocketPower0,ProbabilityMemStoreVectorMemory,ProbabilityMemUpdateScalarLogic,PSUPower0,PSUPower1,FanSpeed15,FanSpeed12,ProbabilityRegisterScalarArithmetic,ProbabilityMemLoadScalarArithmetic,ProbabilityScalarBranch,FanSpeed11,ProbabilityMemLoadVectorLogic,ProbabilityRegisterScalarMemory,ProbabilityRegisterVectorArithmetic,ProbabilityRegisterUnclassifiedArithmetic,ProbabilityMemUpdateScalarArithmetic,ProbabilityMemLoadScalarLogic,ProbabilityMemLoadVectorArithmetic,ProbabilityMemLoadScalarMemory,ProbabilityVectorBranch,ProbabilityMemLoadUnclassifiedArithmetic,ProbabilityRegisterVectorLogic,ProbabilityMemUpdateUnclassifiedArithmetic,ProbabilityMemUpdateVectorArithmetic,ProbabilityRegisterUnclassifiedLogic,FanSpeed6,ProbabilityMemLoadUnclassifiedLogic,ProbabilityMemStoreUnclassifiedArithmetic,ProbabilityRegisterUnclassifiedMemory,ProbabilityMemLoadUnclassifiedMemory,ProbabilityMemUpdateUnclassifiedMemory,ProbabilityUnclassifiedJump,ProbabilityVectorJump,FanSpeed0,FanSpeed13,FanSpeed1,TimeDifference,ProbabilityMemStoreScalarArithmetic,FanSpeed3,ProbabilityRegisterVectorMemory,FanSpeed2,FanSpeed4,ProbabilityScalarJump,FanSpeed7,ProbabilityMemStoreUnclassifiedLogic,FanSpeed8,FanSpeed9,ProbabilityMemStoreScalarMemory,FanSpeed10
0,49.593422,50.640625,1498.591919,36.829994,0.130000,0.0,0.0,0.0,1497.939331,7.200000,95.959831,0.0,13920.000000,0.0,0.0,5.060000,0.040000,27811620,22920.000000,94.425453,24.049999,0.0,375.000000,5.000000,13560.000000,22920.000000,0.260000,0.0,0.000000,13320.000000,0.0,1.480000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22920.000000,13560.000000,13680.000000,7600,0.0,13680.000000,0.0,22920.000000,22800.000000,0.000000,13440.000000,0.0,22560.000000,13800.000000,1.390000,23160.000000
1,49.628849,50.664062,1498.340698,36.280006,0.250000,0.0,0.0,0.0,1498.421997,6.940000,96.117035,0.0,13920.000000,0.0,0.0,4.570000,0.160000,27818830,22920.000000,94.416199,26.609997,0.0,373.000000,5.000000,13680.000000,23160.000000,0.340000,0.0,0.000000,13320.000000,0.0,0.790000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.050000,0.000000,23160.000000,13560.000000,13560.000000,7210,0.0,13680.000000,0.0,22800.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13680.000000,0.940000,22920.000000
2,49.630329,50.664062,1498.374756,35.059994,0.170000,0.0,0.0,0.0,1498.502686,6.460000,96.037651,0.0,13920.000000,0.0,0.0,5.270000,0.550000,27826120,22800.000000,94.509789,25.679996,0.0,373.000000,5.000000,13680.000000,23160.000000,0.410000,0.0,0.000000,13440.000000,0.0,1.100000,0.0,0.0,0.0,0.0,0.0,0.020000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.040000,0.000000,22920.000000,13560.000000,13680.000000,7290,0.020000,13560.000000,0.0,22920.000000,22800.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,1.030000,23160.000000
3,49.609886,50.656250,1498.555786,34.860004,0.040000,0.0,0.0,0.0,1498.333374,7.280000,96.058159,0.0,13920.000000,0.0,0.0,4.730000,0.040000,27833700,22800.000000,94.359077,26.750000,0.0,373.000000,5.000000,13680.000000,22920.000000,0.920000,0.0,0.000000,13320.000000,0.0,0.880000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13560.000000,13680.000000,7580,0.0,13560.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.880000,23160.000000
4,49.642887,50.671875,1498.321655,36.360004,0.100000,0.0,0.0,0.0,1498.444214,6.500000,96.075310,0.0,13920.000000,0.0,0.0,5.850000,0.040000,27840820,22920.000000,94.522636,24.099995,0.0,374.000000,5.000000,13560.000000,23160.000000,0.230000,0.0,0.000000,13320.000000,0.0,0.970000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22920.000000,13560.000000,13560.000000,7120,0.020000,13560.000000,0.0,23160.000000,22800.000000,0.000000,13440.000000,0.0,22800.000000,13680.000000,1.170000,22800.000000
5,49.640087,50.679688,1498.596191,38.600002,0.080000,0.0,0.0,0.0,1498.505127,7.230000,95.883820,0.0,13800.000000,0.0,0.0,4.180000,0.020000,27848080,22920.000000,94.372276,25.160000,0.0,374.000000,5.000000,13560.000000,22800.000000,0.450000,0.0,0.000000,13320.000000,0.0,1.200000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22920.000000,13560.000000,13680.000000,7260,0.0,13560.000000,0.0,23160.000000,22800.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,1.020000,22800.000000
6,49.623188,50.656250,1498.413940,36.950001,0.140000,0.0,0.0,0.0,1498.356812,6.809999,96.092552,0.0,13920.000000,0.0,0.0,5.060000,0.040000,27855150,23160.000000,94.404579,25.340006,0.0,373.000000,5.000000,13560.000000,22920.000000,0.420000,0.0,0.000000,13320.000000,0.0,0.600000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22920.000000,13680.000000,13560.000000,7070,0.020000,13680.000000,0.0,22920.000000,22800.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,0.950000,22920.000000
7,49.594185,50.632812,1498.409180,36.720001,0.270000,0.0,0.0,0.0,1498.385010,7.440000,96.090134,0.0,13920.000000,0.0,0.0,5.020000,0.130000,27862320,22920.000000,94.375511,25.570002,0.0,373.000000,5.000000,13680.000000,22920.000000,0.900000,0.0,0.000000,13320.000000,0.0,1.010000,0.0,0.0,0.0,0.0,0.0,0.060000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,22920.000000,13560.000000,13560.000000,7170,0.0,13560.000000,0.0,22920.000000,22800.000000,0.000000,13560.000000,0.0,22920.000000,13800.000000,0.810000,23160.000000
8,49.595463,50.632812,1498.374268,36.769997,0.220000,0.0,0.0,0.0,1498.436157,7.080000,96.122383,0.0,13920.000000,0.0,0.0,4.340000,0.390000,27869640,22920.000000,94.583344,24.630001,0.0,374.000000,5.000000,13680.000000,22920.000000,0.480000,0.0,0.000000,13320.000000,0.0,1.100000,0.0,0.0,0.0,0.020000,0.0,0.040000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.040000,0.000000,22800.000000,13680.000000,13680.000000,7320,0.020000,13680.000000,0.0,23160.000000,22800.000000,0.000000,13440.000000,0.0,22800.000000,13680.000000,1.640000,23160.000000
9,49.656082,50.703125,1498.325562,35.730003,0.050000,0.0,0.0,0.020000,1498.305298,7.320000,95.884117,0.0,13920.000000,0.0,0.0,5.590000,0.020000,27877010,22800.000000,94.367737,27.209991,0.0,373.000000,5.000000,13560.000000,22920.000000,0.350000,0.0,0.000000,13320.000000,0.0,0.980000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.040000,0.000000,22920.000000,13680.000000,13560.000000,7370,0.0,13680.000000,0.0,22920.000000,22920.000000,0.000000,13560.000000,0.0,22920.000000,13680.000000,0.710000,23160.000000
10,49.601738,50.632812,1498.596313,33.309990,0.120000,0.0,0.0,0.0,1498.410522,7.520000,96.073082,0.0,13920.000000,0.0,0.0,3.690000,0.060000,27884160,22920.000000,94.532913,25.559996,0.0,375.000000,5.000000,13560.000000,22800.000000,0.450000,0.0,0.000000,13320.000000,0.0,1.040000,0.0,0.0,0.0,0.0,0.0,0.040000,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13680.000000,13560.000000,7150,0.0,13680.000000,0.0,23160.000000,22800.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,1.580000,22800.000000
11,49.597015,50.625000,1498.505249,35.149998,0.110000,0.0,0.0,0.0,1498.358032,6.510000,95.988579,0.0,13920.000000,0.0,0.0,5.310000,0.110000,27891420,22920.000000,94.305656,27.179996,0.0,373.000000,5.000000,13680.000000,23160.000000,0.450000,0.0,0.000000,13320.000000,0.0,0.720000,0.0,0.0,0.0,0.0,0.0,0.020000,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.020000,0.000000,23160.000000,13560.000000,13680.000000,7260,0.020000,13560.000000,0.0,22800.000000,22800.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.700000,22920.000000
12,49.656723,50.687500,1498.547485,34.849998,0.050000,0.0,0.0,0.0,1498.481812,7.220000,96.195427,0.0,13920.000000,0.0,0.0,4.550000,0.060000,27898680,22920.000000,94.471428,27.029997,0.0,373.000000,5.000000,13680.000000,22920.000000,0.690000,0.0,0.000000,13440.000000,0.0,0.760000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13680.000000,13560.000000,7260,0.0,13560.000000,0.0,22920.000000,22800.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,1.170000,22920.000000
13,49.622654,50.656250,1498.455322,36.349998,0.130000,0.0,0.0,0.0,1498.385864,6.220000,96.000221,0.0,13920.000000,0.0,0.0,6.140000,0.040000,27905740,22800.000000,94.298111,25.220007,0.0,374.000000,5.000000,13560.000000,22920.000000,0.330000,0.0,0.000000,13320.000000,0.0,1.510000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.020000,0.000000,22920.000000,13560.000000,13560.000000,7060,0.0,13560.000000,0.0,23160.000000,22800.000000,0.000000,13440.000000,0.0,22920.000000,13680.000000,0.900000,23160.000000
14,49.622993,50.648438,1497.799194,36.460007,0.400000,0.0,0.0,0.0,1498.339111,6.940001,96.090858,0.0,13920.000000,0.0,0.0,4.530000,0.290000,27912910,22800.000000,94.422028,25.509995,0.0,374.000000,5.000000,13680.000000,22920.000000,0.360000,0.0,0.000000,13320.000000,0.0,1.160000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.020000,0.000000,22920.000000,13560.000000,13680.000000,7170,0.040000,13560.000000,0.0,22920.000000,22800.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,1.390000,22920.000000
15,49.607761,50.656250,1498.183960,35.629997,0.100000,0.0,0.0,0.0,1498.549805,6.240000,96.163895,0.0,13920.000000,0.0,0.0,4.980000,0.180000,27920200,22800.000000,94.449875,26.609999,0.0,374.000000,5.000000,13560.000000,22920.000000,0.410000,0.0,0.000000,13440.000000,0.0,1.080000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.000000,0.000000,23160.000000,13560.000000,13560.000000,7290,0.0,13680.000000,0.0,23160.000000,22920.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.770000,22920.000000
16,49.634628,50.671875,1498.598022,35.010006,0.050000,0.0,0.0,0.0,1498.440552,8.120000,95.934219,0.0,13920.000000,0.0,0.0,4.960000,0.020000,27927460,22920.000000,94.418533,26.970005,0.0,375.000000,5.000000,13560.000000,23160.000000,0.410000,0.0,0.000000,13320.000000,0.0,0.900000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.020000,0.000000,23160.000000,13440.000000,13680.000000,7260,0.0,13680.000000,0.0,22920.000000,22800.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.720000,23160.000000
17,49.639084,50.679688,1498.339233,35.980007,0.070000,0.0,0.0,0.0,1498.590698,6.150000,96.077492,0.0,13920.000000,0.0,0.0,4.700000,0.0,27934570,22800.000000,94.365196,26.220003,0.0,374.000000,5.000000,13560.000000,22920.000000,0.530000,0.0,0.000000,13320.000000,0.0,1.090000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.020000,0.000000,23160.000000,13560.000000,13560.000000,7110,0.0,13680.000000,0.0,22920.000000,22800.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.840000,22920.000000
18,49.603348,50.625000,1498.349854,35.639999,0.340000,0.0,0.0,0.020000,1498.417114,7.980000,96.089127,0.0,13920.000000,0.0,0.0,5.080000,0.120000,27941700,22920.000000,94.577698,26.230005,0.0,374.000000,5.000000,13680.000000,22920.000000,0.330000,0.0,0.000000,13320.000000,0.0,0.620000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.020000,0.000000,23160.000000,13560.000000,13560.000000,7130,0.0,13680.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13680.000000,1.190000,22920.000000
19,49.632969,50.671875,1498.562866,37.220001,0.270000,0.0,0.0,0.0,1498.378418,6.030000,96.034500,0.0,13920.000000,0.0,0.0,5.140000,0.040000,27949150,22920.000000,94.349602,25.959995,0.0,373.000000,5.000000,13560.000000,22920.000000,0.390000,0.0,0.000000,13440.000000,0.0,0.730000,0.0,0.0,0.0,0.0,0.0,0.0,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.070000,0.000000,23160.000000,13680.000000,13560.000000,7450,0.020000,13680.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,0.770000,22920.000000
20,49.574749,50.609375,1498.556396,36.869991,0.300000,0.0,0.0,0.0,1498.139282,6.810000,96.101830,0.0,13920.000000,0.0,0.0,4.110000,0.120000,27956350,22920.000000,94.431374,24.929996,0.0,374.000000,5.000000,13560.000000,23160.000000,0.360000,0.0,0.000000,13320.000000,0.0,1.300000,0.0,0.0,0.0,0.0,0.0,0.020000,0.000000,0.0,0.0,0.0,0.0,0.0,22920.000000,0.0,0.0,0.0,0.0,0.0,0.040000,0.000000,22920.000000,13680.000000,13680.000000,7200,0.020000,13680.000000,0.0,22920.000000,22920.000000,0.000000,13440.000000,0.0,22800.000000,13800.000000,0.770000,22920.000000
21,49.637314,50.671875,1498.201538,34.059998,0.540000,0.0,0.0,0.0,1498.367920,6.830000,96.027924,0.0,13920.000000,0.0,0.0,4.990000,0.130000,27963760,22800.000000,94.337769,25.430004,0.0,375.000000,5.000000,13680.000000,22920.000000,0.430000,0.0,0.000000,13320.000000,0.0,0.850000,0.0,0.0,0.0,0.020000,0.0,0.070000,0.000000,0.0,0.0,0.0,0.0,0.0,22800.000000,0.0,0.0,0.0,0.0,0.0,0.020000,0.000000,23160.000000,13680.000000,13560.000000,7410,0.0,13560.000000,0.0,22920.000000,22800.000000,0.000000,13440.000000,0.0,22920.000000,13800.000000,1.110000,22920.000000
